material_id,material_name,supplied_by_id,criticality_level
M578,AX-947-B Nylon Fiber,S593,Medium
M579,Mechanical Sensor,S478,Critical
M580,MICRO-285-PRO Kevlar Fiber,S017,Low
M581,High-Temp Adhesive,S456,Medium
M582,IX-566-MAX Drum Container,S638,Medium
M583,Food-Grade Wood Pulp,S101,Medium
M584,CX-378-ULTRA Valve Body,S809,High
M585,Corrosion-Resistant Limestone,S831,Low
M586,Industrial-Grade Resistor,S859,Low
M587,High-Temp Phosphate Rock,S442,Medium
M588,Military-Spec Brass Fitting,S758,Medium
M589,FX-581-BIO Lithium Carbonate,S395,Medium
M590,Thermal Label Stock,S126,Medium
M591,DELTA-124-C Valve Body,S175,Low
M592,IX-136-B Magnesium Ingot,S812,High
M593,High-Purity Linen Cloth,S073,Low
M594,JX-43-ULTRA Copper Wire,S359,Medium
M595,Thermal Capacitor,S306,Low
M596,Magnetic Kevlar Fiber,S240,Low
M597,OMEGA-782-ECO Copper Wire,S495,Medium
M598,SIGMA-26-C Zinc Plate,S678,High
M599,MICRO-532-A Motor Stator,S726,Low
M600,Magnetic Fastener Set,S210,High
M601,CX-966-MAX Natural Gas,S994,Critical
M602,OMEGA-765-MAX Lead Plate,S104,Medium
M603,Optical Pump Housing,S262,Critical
M604,Industrial-Grade Polymer,S262,Low
M605,GAMMA-783 Shrink Wrap,S067,Medium
M606,Corrosion-Resistant Acid,S346,High
M607,MACRO-693-C Motor Stator,S990,Medium
M608,QUANTUM-192-A Kevlar Fiber,S512,Critical
M609,Corrosion-Resistant Bauxite,S500,Medium
M610,Food-Grade Shrink Wrap,S082,Low
M611,BX-611-A Linen Cloth,S276,Low
M612,ALPHA-47-C Coating,S891,Low
M613,MAX-113-B Polyester Yarn,S957,High
M614,Magnetic Clay,S436,High
M615,TECH-232-BIO Chemical Compound,S054,Medium
M616,BETA-322-ULTRA Fastener Set,S864,Medium
M617,DELTA-841-BIO Graphite,S008,Medium
M618,MICRO-322-ULTRA Copper Wire,S586,Low
M619,FX-480-MAX Steel Alloy,S043,High
M620,ECO-28-PLUS Kevlar Fiber,S134,High
M621,Precision Hydraulic Cylinder,S395,High
M622,Precision Coating,S419,Critical
M623,Medical-Grade Polyurethane Foam,S332,High
M624,Structural Iron Ore,S488,Critical
M625,Conductive Reagent,S410,Medium
M626,Thermal Brass Fitting,S387,Low
M627,SUPER-146-C Plastic Container,S312,Medium
M628,Medical-Grade Polyurethane Foam,S214,Low
M629,Optical Potash,S089,Medium
M630,Conductive Nylon Fiber,S256,Critical
M631,Military-Spec Magnesium Ingot,S823,High
M632,MICRO-609 Oscillator,S671,Critical
M633,NANO-820-MAX Iron Ore,S595,High
M634,Electrical Clay,S137,Low
M635,Industrial-Grade Sulfur,S993,Medium
M636,BX-419-B Compressor Rotor,S405,Medium
M637,HYPER-859-BIO Lead Plate,S202,Low
M638,DX-15 PCB,S105,Medium
M639,Food-Grade Sensor,S889,Medium
M640,GX-964-PLUS Sulfur,S866,High
M641,AX-543-PLUS Felt Material,S311,Medium
M642,UV-Stable Copper Wire,S190,Low
M643,High-Temp Precision Bearing,S497,Medium
M644,Flame-Retardant Polyurethane Foam,S299,High
M645,Magnetic TPE Compound,S636,Medium
M646,Precision Chemical Compound,S610,Critical
M647,MEGA-135-ECO Stainless Steel,S635,Medium
M648,NANO-418-BIO Flexible Pouch,S192,Medium
M649,Flame-Retardant PVC Compound,S506,Low
M650,Corrosion-Resistant Clamshell Package,S579,Medium
M651,High-Temp Catalyst,S670,Low
M652,TECH-429-B Microchip,S292,Medium
M653,Thermal Spandex,S814,High
M654,ULTRA-902-BIO PET Preform,S219,High
M655,ECO-961-MAX Silicone Rubber,S032,High
M656,High-Purity Microchip,S093,High
M657,Corrosion-Resistant Polyester Yarn,S559,High
M658,TECH-25-C Zinc Plate,S876,Medium
M659,ZETA-472-A Semiconductor Wafer,S069,Low
M660,Magnetic Polyester Yarn,S322,High
M661,High-Temp Graphite,S390,Medium
M662,CX-351-A Flexible Pouch,S917,Low
M663,Structural Steel Alloy,S842,High
M664,Industrial-Grade Label Stock,S546,Medium
M665,Electrical Potash,S187,High
M666,MAX-896-C Natural Gas,S925,Medium
M667,MICRO-763-PLUS Semiconductor Wafer,S887,Medium
M668,JX-294-B Catalyst,S735,Critical
M669,MEGA-257-C Phosphate Rock,S721,Medium
M670,NANO-456-ECO Gear Assembly,S187,High
M671,EX-673-PRO Corrugated Box,S397,Medium
M672,Medical-Grade Brass Fitting,S390,High
M673,PRO-665-B Memory Chip,S832,Critical
M674,DELTA-706-C Integrated Circuit,S737,High
M675,ZETA-79-B Transistor,S737,Low
M676,OMEGA-24-MAX Titanium Rod,S270,High
M677,DX-618-BIO Drum Container,S251,Medium
M678,ALPHA-762-MAX Catalyst,S917,High
M679,AX-374-PLUS Wool Blend,S721,Medium
M680,DX-380-PLUS Diode,S966,High
M681,Food-Grade Semiconductor Wafer,S525,Medium
M682,ECO-799-A Silicone Rubber,S548,Medium
M683,BIO-217-ULTRA Spandex,S746,Medium
M684,Structural Kevlar Fiber,S735,Medium
M685,Structural Label Stock,S090,Low
M686,BX-227-B Sensor,S018,Medium
M687,Military-Spec Label Stock,S813,Medium
M688,QUANTUM-247-B Linen Cloth,S694,Medium
M689,PRO-164-PRO PET Preform,S317,Medium
M690,Mechanical Semiconductor Wafer,S446,Medium
M691,Medical-Grade Pallet,S177,Medium
M692,High-Temp Coating,S441,Medium
M693,Precision PCB,S343,Low
M694,SIGMA-915-A Gear Assembly,S244,Medium
M695,Medical-Grade Reagent,S770,Medium
M696,Medical-Grade Valve Body,S011,High
M697,Corrosion-Resistant Filter Element,S655,Medium
M698,BIO-417-MAX Circuit Board,S869,High
M699,High-Temp Acrylic Panel,S838,Medium
M700,BETA-306-MAX Resin,S762,Medium
M701,DX-325-ECO TPE Compound,S743,Medium
M702,SIGMA-799-MAX Dye,S929,Low
M703,BIO-82-PLUS Kevlar Fiber,S463,Medium
M704,CX-790-PRO Felt Material,S857,Low
M705,DELTA-157-A Copper Wire,S520,Low
M706,JX-34-A Limestone,S101,High
M707,ALPHA-270-C Polycarbonate Sheet,S593,Critical
M708,SUPER-815-PLUS Label Stock,S781,Low
M709,Optical TPE Compound,S568,High
M710,BETA-496-BIO Resin,S869,Medium
M711,Electrical Corrugated Box,S587,Medium
M712,CX-726-PRO Zinc Plate,S531,Medium
M713,BIO-943-ULTRA PET Preform,S336,Medium
M714,Flame-Retardant PCB,S793,Medium
M715,Thermal Cotton Fabric,S043,Low
M716,FX-415-MAX Silk Thread,S807,Critical
M717,SIGMA-994-ECO Technical Textile,S511,High
M718,Thermal Circuit Board,S502,High
M719,Medical-Grade Motor Stator,S938,Critical
M720,GX-214-MAX TPE Compound,S594,Critical
M721,UV-Stable Memory Chip,S820,Low
M722,Magnetic Nylon Fiber,S748,Medium
M723,BX-368-C Magnesium Ingot,S063,Medium
M724,Military-Spec PET Preform,S760,Medium
M725,Electrical Filter Element,S249,High
M726,HYPER-59-PLUS Shrink Wrap,S405,Low
M727,Conductive Tungsten Carbide,S286,Low
M728,IX-398-A Felt Material,S887,Medium
M729,BIO-556-B Polycarbonate Sheet,S169,Medium
M730,MEGA-71-A Wool Blend,S122,Medium
M731,High-Temp Limestone,S210,Low
M732,SUPER-491-PLUS Glass Bottle,S711,Low
M733,Optical Limestone,S972,Critical
M734,NANO-529-B PET Preform,S830,Low
M735,Food-Grade Connector,S450,Low
M736,ECO-107-ECO Spandex,S103,Medium
M737,Industrial-Grade Polyester Yarn,S717,Critical
M738,Corrosion-Resistant Polypropylene Resin,S987,Critical
M739,Magnetic Natural Gas,S737,Low
M740,Thermal Kevlar Fiber,S135,Medium
M741,ECO-85-BIO Gear Assembly,S664,Medium
M742,ECO-766-A Memory Chip,S651,High
M743,Industrial-Grade Lubricant,S036,Low
M744,Conductive Graphite,S028,Medium
M745,ALPHA-452-A Pump Housing,S989,Medium
M746,PRO-165-MAX Phosphate Rock,S237,Medium
M747,QUANTUM-825-A Integrated Circuit,S155,High
M748,Optical Drum Container,S275,Low
M749,OMEGA-933-ULTRA Integrated Circuit,S932,Low
M750,GAMMA-896 Pump Housing,S247,High
M751,Precision Bronze Casting,S820,Medium
M752,Thermal Drum Container,S668,Low
M753,EX-23-C Spring Assembly,S988,Medium
M754,Military-Spec Processor,S879,High
M755,EX-977-MAX Brass Fitting,S889,Low
M756,ECO-983-ULTRA Glass Bottle,S044,Medium
M757,GX-148-MAX Compressor Rotor,S647,Medium
M758,Flame-Retardant Nickel Coil,S979,High
M759,EX-873-MAX ABS Plastic,S086,Medium
M760,Food-Grade Lubricant,S878,Medium
M761,TECH-438-BIO Memory Chip,S633,High
M762,Corrosion-Resistant Graphite,S410,Low
M763,Corrosion-Resistant Crude Oil,S097,Medium
M764,Mechanical Wood Pulp,S478,Medium
M765,BIO-33-ECO Nickel Coil,S537,High
M766,Food-Grade Memory Chip,S499,Low
M767,Magnetic Wool Blend,S862,Medium
M768,TECH-201-A Spandex,S323,Low
M769,HYPER-94-MAX Polyester Yarn,S818,Critical
M770,High-Purity Lithium Carbonate,S312,High
M771,SUPER-491-PLUS Graphite,S990,Low
M772,Mechanical Copper Concentrate,S227,Low
M773,Industrial-Grade Capacitor,S371,High
M774,UV-Stable Semiconductor Wafer,S615,Medium
M775,Mechanical Resistor,S386,Medium
M776,MEGA-628-C Wool Blend,S124,Low
M777,JX-873-ULTRA Aluminum Can,S961,Critical
M778,IX-28-PRO Protective Foam,S679,High
M779,Electrical Aluminum Can,S411,Low
M780,ZETA-576-PRO EPS Bead,S842,Low
M781,DX-460-A Steel Alloy,S281,Low
M782,MEGA-970-MAX LED,S371,Low
M783,HX-299-MAX Memory Chip,S512,Medium
M784,SIGMA-945-C Spring Assembly,S735,Low
M785,MEGA-293 Lead Plate,S504,Low
M786,IX-153-PLUS Processor,S846,Low
M787,GX-83-MAX Lithium Carbonate,S584,Medium
M788,JX-741-ULTRA Iron Ore,S718,High
M789,Flame-Retardant Corrugated Box,S697,Low
M790,NANO-936-MAX Silica Sand,S448,Medium
M791,UV-Stable Pigment,S064,Medium
M792,Medical-Grade Steel Alloy,S442,Medium
M793,Thermal Pallet,S333,Low
M794,BX-450-A Polyurethane Foam,S978,Medium
M795,GAMMA-661 Shrink Wrap,S488,High
M796,TECH-590-PRO Fastener Set,S385,Medium
M797,BIO-801-A Circuit Board,S910,Low
M798,PRO-891-BIO Memory Chip,S009,Medium
M799,FX-238 Wood Pulp,S858,Low
M800,OMEGA-257-C Heat Exchanger,S131,Critical
M801,HX-829-B LED,S536,Critical
M802,QUANTUM-444-MAX Natural Gas,S261,Low
M803,Food-Grade Integrated Circuit,S527,Low
M804,MICRO-521-BIO Circuit Board,S169,Low
M805,BETA-599-B Tungsten Carbide,S664,Medium
M806,FX-137-A Nylon Fiber,S252,High
M807,TECH-60-A Graphite,S249,High
M808,JX-90 Active Pharmaceutical Ingredient,S133,High
M809,Thermal Silk Thread,S108,Medium
M810,Magnetic Adhesive,S762,High
M811,Medical-Grade Active Pharmaceutical Ingredient,S313,Medium
M812,Medical-Grade Polyurethane Foam,S100,High
M813,TECH-713-BIO Polyester Yarn,S901,Medium
M814,ECO-411-A Non-woven Fabric,S802,Medium
M815,Structural Protective Foam,S198,Low
M816,Conductive Lubricant,S438,Medium
M817,GX-68-ECO Titanium Rod,S389,Medium
M818,Corrosion-Resistant Steel Alloy,S256,Low
M819,Industrial-Grade Clay,S467,Medium
M820,Magnetic Wood Pulp,S157,High
M821,ALPHA-28-ULTRA Gear Assembly,S974,Medium
M822,EX-699-ECO Polymer,S347,Medium
M823,Industrial-Grade Nickel Coil,S862,High
M824,GAMMA-663-ECO Aluminum Sheet,S564,Medium
M825,Precision Crude Oil,S660,Low
M826,EX-530 Linen Cloth,S192,Medium
M827,AX-110-C Silicone Rubber,S301,Medium
M828,High-Temp Valve Body,S745,Critical
M829,HX-751-PLUS Clay,S759,Medium
M830,GAMMA-897-C Hydraulic Cylinder,S670,High
M831,Flame-Retardant Capacitor,S093,Low
M832,Magnetic Motor Stator,S999,Critical
M833,ECO-154-PLUS Polypropylene Resin,S765,Low
M834,Structural Transistor,S016,Medium
M835,ALPHA-990 Potash,S428,High
M836,BX-219-A Additive,S481,Medium
M837,JX-292-PRO Titanium Rod,S299,Medium
M838,Thermal Nylon Fiber,S390,High
M839,Precision Flexible Pouch,S521,Low
M840,NANO-116-ECO Silica Sand,S792,Low
M841,GX-682-C EPS Bead,S751,Critical
M842,ALPHA-832-A Surfactant,S933,Medium
M843,Industrial-Grade Silica Sand,S561,Medium
M844,Mechanical Coating,S365,High
M845,Thermal ABS Plastic,S296,High
M846,Food-Grade Label Stock,S595,High
M847,Military-Spec Additive,S605,Medium
M848,MACRO-260-BIO Felt Material,S127,Low
M849,High-Purity EPS Bead,S717,Low
M850,ECO-951-MAX Heat Exchanger,S253,Medium
M851,Medical-Grade Non-woven Fabric,S212,Low
M852,SIGMA-877-A Surfactant,S232,High
M853,SUPER-105-PRO Polymer,S919,Critical
M854,MEGA-649-A Hydraulic Cylinder,S421,High
M855,DELTA-572-C Copper Wire,S762,Low
M856,MAX-913-BIO Additive,S523,Low
M857,CX-321-A Nickel Coil,S550,Medium
M858,GX-211-MAX Seal Kit,S392,Medium
M859,Precision Motor Stator,S658,Medium
M860,Mechanical Sulfur,S220,Medium
M861,EX-535-PLUS Lubricant,S466,High
M862,GX-747-C Polyethylene Pellet,S906,Medium
M863,Thermal Circuit Board,S406,Medium
M864,NANO-34-B Pallet,S323,Low
M865,FX-274-C Memory Chip,S125,Medium
M866,Medical-Grade Wood Pulp,S012,High
M867,SIGMA-693-PLUS Technical Textile,S881,Medium
M868,High-Purity Additive,S987,Critical
M869,Industrial-Grade Polyethylene Pellet,S678,Medium
M870,MAX-278-BIO Polyethylene Pellet,S664,Medium
M871,BETA-935 Gypsum,S257,Medium
M872,GX-595-B Magnesium Ingot,S320,High
M873,Optical Reagent,S278,Critical
M874,GX-652-PLUS Potash,S087,High
M875,GX-189-ULTRA Lubricant,S723,Medium
M876,BX-363 Polyurethane Foam,S368,Medium
M877,Thermal Natural Gas,S190,High
M878,Electrical Denim Fabric,S344,Medium
M879,Food-Grade Polymer,S695,Critical
M880,HX-57-PLUS Phosphate Rock,S298,Low
M881,Military-Spec Crude Oil,S876,Medium
M882,ALPHA-587-PLUS PET Preform,S332,Low
M883,Industrial-Grade Spandex,S360,Low
M884,Thermal Catalyst,S056,Low
M885,Mechanical Acid,S162,Medium
M886,GX-359-PLUS Cotton Fabric,S517,Medium
M887,TECH-69-PRO Cotton Fabric,S288,High
M888,PRO-214-A Potash,S066,Critical
M889,NANO-801-C TPE Compound,S063,Low
M890,MEGA-249-PLUS Sulfur,S590,High
M891,Corrosion-Resistant Silicone Rubber,S076,Medium
M892,SUPER-23 Corrugated Box,S795,Medium
M893,Industrial-Grade Bronze Casting,S718,High
M894,Electrical Gypsum,S068,Medium
M895,UV-Stable Bauxite,S212,Medium
M896,FX-232-PLUS Crude Oil,S146,Low
M897,Food-Grade Nylon Mesh,S338,Low
M898,ULTRA-34-MAX Crude Oil,S534,High
M899,High-Temp Potash,S234,Medium
M900,Thermal Crude Oil,S766,Low
M901,High-Temp Pallet,S308,High
M902,Electrical Heat Exchanger,S446,Low
M903,Food-Grade Tungsten Carbide,S640,Critical
M904,AX-877-B Silicone Rubber,S926,Medium
M905,Structural Microchip,S922,High
M906,Structural Silk Thread,S790,Low
M907,GAMMA-342-ULTRA Polyethylene Pellet,S259,High
M908,Optical Wool Blend,S660,Low
M909,MACRO-227-ULTRA Polyurethane Foam,S647,Low
M910,MEGA-572-BIO Tungsten Carbide,S899,High
M911,SUPER-718-ULTRA Valve Body,S905,Medium
M912,Food-Grade Polyethylene Pellet,S342,Low
M913,Flame-Retardant Magnesium Ingot,S031,High
M914,Flame-Retardant Reagent,S453,High
M915,CX-8-A Drum Container,S213,Low
M916,BIO-337 Hydraulic Cylinder,S381,Medium
M917,MACRO-862-PRO Compressor Rotor,S799,Low
M918,GAMMA-845-PRO PET Preform,S457,Medium
M919,Corrosion-Resistant LED,S057,Medium
M920,ALPHA-844-C Linen Cloth,S008,Low
M921,ULTRA-104 Cotton Fabric,S004,Low
M922,Medical-Grade Non-woven Fabric,S576,Medium
M923,BETA-276-PLUS Transistor,S671,Low
M924,BETA-910-PRO Sulfur,S456,Low
M925,ALPHA-216-ECO Polycarbonate Sheet,S157,Low
M926,GX-986-PLUS Copper Wire,S777,Medium
M927,NANO-922-BIO Shrink Wrap,S238,High
M928,Conductive Semiconductor Wafer,S636,Medium
M929,BIO-669-ECO Connector,S545,Medium
M930,Flame-Retardant Silk Thread,S792,Low
M931,Optical ABS Plastic,S472,Low
M932,ZETA-117-A Magnesium Ingot,S532,Medium
M933,BX-843-C ABS Plastic,S972,Low
M934,SIGMA-572-BIO Kevlar Fiber,S816,Medium
M935,BIO-620-ECO Reagent,S520,Medium
M936,Thermal Valve Body,S536,High
M937,Industrial-Grade Crate,S524,Low
M938,ULTRA-95-A Microchip,S222,Medium
M939,Magnetic Graphite,S350,Medium
M940,ULTRA-74-ULTRA Reagent,S847,Medium
M941,SIGMA-14-PLUS Dye,S839,Low
M942,MAX-385-A Sulfur,S020,Medium
M943,QUANTUM-973-MAX Copper Concentrate,S936,Medium
M944,Electrical Catalyst,S691,Critical
M945,HX-68-C Drum Container,S276,Low
M946,TECH-80 Aluminum Can,S297,Medium
M947,UV-Stable Stainless Steel,S365,Low
M948,GX-296-MAX Filter Element,S696,Low
M949,Corrosion-Resistant LED,S144,Low
M950,High-Temp Acrylic Panel,S955,Medium
M951,DELTA-933-A Felt Material,S356,Medium
M952,SIGMA-417-PLUS Diode,S659,Medium
M953,Corrosion-Resistant EPS Bead,S511,High
M954,CX-471-BIO Label Stock,S230,Critical
M955,DELTA-691-C Gypsum,S710,Low
M956,BETA-601-C Filter Element,S949,Medium
M957,Military-Spec Sensor,S284,Medium
M958,ZETA-382-B Polycarbonate Sheet,S980,High
M959,Magnetic Active Pharmaceutical Ingredient,S207,High
M960,PRO-465-PLUS Felt Material,S816,Low
M961,ALPHA-717-ECO Polycarbonate Sheet,S038,Medium
M962,IX-417 EPS Bead,S806,Critical
M963,Precision Nickel Coil,S314,Medium
M964,Magnetic Label Stock,S255,Low
M965,High-Temp Chemical Compound,S371,Low
M966,High-Temp Zinc Plate,S378,Medium
M967,MAX-503-BIO Motor Stator,S949,Low
M968,HX-668-ECO Bauxite,S566,High
M969,Military-Spec Denim Fabric,S606,Medium
M970,PRO-936-A Lithium Carbonate,S123,Medium
M971,Military-Spec Flexible Pouch,S920,High
M972,BX-605-BIO Hydraulic Cylinder,S642,Low
M973,Structural Iron Ore,S383,High
M974,FX-717-B Shrink Wrap,S926,Medium
M975,Precision Clamshell Package,S363,Low
M976,FX-344 Crate,S960,High
M977,Medical-Grade Seal Kit,S387,Medium
M978,BETA-23-PLUS Wool Blend,S221,High
M979,DX-70-BIO Transistor,S197,Medium
M980,GX-970-BIO Polyester Yarn,S131,Medium
M981,Flame-Retardant ABS Plastic,S635,Low
M982,Food-Grade Zinc Plate,S237,Low
M983,SUPER-323-PLUS PCB,S019,Low
M984,MACRO-61-PLUS Chemical Compound,S669,Medium
M985,TECH-846-PLUS Shrink Wrap,S343,Low
M986,GX-626-A Protective Foam,S397,Low
M987,AX-374-PLUS Processor,S272,Low
M988,Corrosion-Resistant PVC Compound,S653,Critical
M989,Industrial-Grade TPE Compound,S435,High
M990,High-Temp Compressor Rotor,S162,Medium
M991,Magnetic Dye,S361,Critical
M992,Food-Grade Nylon Fiber,S167,High
M993,TECH-113-PLUS Copper Concentrate,S287,Low
M994,BX-6-A Lead Plate,S820,Medium
M995,Precision Seal Kit,S313,High
M996,Conductive PVC Compound,S678,Low
M997,UV-Stable Pump Housing,S436,Critical
M998,Thermal Potash,S732,Medium
M999,BETA-297-C Technical Textile,S634,Medium
M1000,JX-102-ECO Plastic Container,S562,Low
